name,Cluster,Node_Status,Score
TT_FcgR3b,Cluster1,Clustered,5.969230769230769
IPV1_FcgR3b,Cluster1,Clustered,6.105263157894736
FHA_FcgR3b,Cluster1,Seed,7.3202614379084965
IPV1_IgG1,Cluster1,Clustered,6.019047619047619
TT_IgG1,Cluster1,Clustered,6.666666666666666
DT_IgG1,Cluster1,Clustered,6.5054945054945055
TT_ADNP,Cluster1,Clustered,7
PRN_ADNP,Cluster1,Clustered,7
DT_ADCP,Cluster1,Clustered,7
DT_ADNP,Cluster1,Clustered,7
PT_ADNP,Cluster1,Clustered,7
PRN_ADCP,Cluster1,Clustered,7
IPV3_ADCD,Cluster1,Clustered,7
ACT_ADCD,Cluster1,Clustered,7
PRN_IgG1,Cluster1,Clustered,5.942857142857143
IPV2_ADCD,Cluster1,Clustered,7
IPV3_FcgR3b,Cluster1,Clustered,6.095238095238095
IPV1_ADCD,Cluster1,Clustered,6
IPV2_FcgR3b,Cluster1,Clustered,7.0285714285714285
TT_IgG4,Cluster2,Seed,5.614285714285714
FIM_ADCD,Cluster2,Clustered,4.761904761904762
DT_IgG4,Cluster2,Clustered,4.589473684210526
FHA_IgG,Cluster2,Clustered,4.98
TT_ADCD,Cluster2,Clustered,5.561904761904762
PRN_IgG,Cluster2,Clustered,4.83
ACT_IgG3,Cluster2,Clustered,5.571428571428571
PT_FcgR3b,Cluster2,Clustered,4.5021645021645025
FIM_IgG1,Cluster2,Clustered,4.666666666666666
FHA_ADCD,Cluster2,Clustered,5.333333333333333
PRN_FcgR3b,Cluster2,Clustered,5.298701299
FHA_IgG2,Cluster2,Clustered,4.581818181818182
PRN_ADCD,Cluster2,Clustered,5.352941176470588
IPV2_IgG1,Cluster2,Clustered,4.8999999999999995
IPV3_IgG1,Cluster2,Clustered,5.4743589743589745
IPV3_FcgR2a,Cluster2,Clustered,5
PT_ADCD,Cluster2,Clustered,4.926315789473684
IPV2_IgG4,Cluster2,Clustered,4.800000000000001
FIM_IgG2,Cluster2,Clustered,4.761904761904762
TT_IgG3,Cluster3,Clustered,3.1818181818181817
PT_IgG3,Cluster3,Clustered,3.1764705882352944
FHA_IgG3,Cluster3,Seed,3.5604395604395602
PRN_FcgR2a,Cluster3,Clustered,3.1228070175438596
FHA_FcgR2a,Cluster3,Clustered,2.936842105263158
DT_ADCD,Cluster3,Clustered,3.398550724637681
DT_FcgR2a,Cluster3,Clustered,3.35
FIM_IgG,Cluster3,Clustered,3.132352941176471
PT_IgG2,Cluster3,Clustered,2.9545454545454546
FIM_IgG3,Cluster4,Seed,2.6666666666666665
PRN_IgG3,Cluster4,Clustered,2.6515151515151514
FIM_FcgR2a,Cluster4,Clustered,2.4782608695652173
FIM_IgG4,Cluster5,Clustered,4
FIM_FcgR3b,Cluster5,Clustered,3.9632352941176467
PRN_IgG4,Cluster5,Clustered,4
ACT_FcgR2a,Cluster5,Clustered,3.824175824175824
ACT_FcgR3b,Cluster5,Clustered,4.166666666666667
FHA_IgG4,Cluster5,Clustered,4.163398692810458
TT_ADCP,Cluster5,Clustered,4.141666666666667
PT_IgG1,Cluster5,Clustered,3.9333333333333336
PT_IgG,Cluster5,Seed,4.477941176470588
DT_FcgR3b,Unclustered,Unclustered,4.4896551724137925
DT_IgG3,Unclustered,Unclustered,2.021978021978022
FHA_IgG1,Unclustered,Unclustered,3.7666666666666666
IPV1_IgG3,Unclustered,Unclustered,2.6666666666666665
IPV1_IgG4,Unclustered,Unclustered,3
ACT_IgG1,Unclustered,Unclustered,2.4727272727272727
IPV1_FcgR2a,Unclustered,Unclustered,4.285714285714286
IPV3_IgG3,Unclustered,Unclustered,2.857142857142857
IPV2_IgG3,Unclustered,Unclustered,1.7142857142857142
PT_FcgR2a,Unclustered,Unclustered,2.3529411764705883
IPV2_FcgR2a,Unclustered,Unclustered,2.051282051282051
ACT_IgG2,Unclustered,Unclustered,2.7
IPV2_IgG2,Unclustered,Unclustered,2.7
TT_FcgR2a,Unclustered,Unclustered,5
PT_ADCP,Unclustered,Unclustered,5
PRN_IgG2,Unclustered,Unclustered,4
IPV3_IgG4,Unclustered,Unclustered,2.5714285714285716
TT_IgG2,Unclustered,Unclustered,2.8571428571428568
DT_IgG,Unclustered,Unclustered,2
DT_IgG2,Unclustered,Unclustered,3.75
IPV3_IgG2,Unclustered,Unclustered,2
PT_IgG4,Unclustered,Unclustered,2.857142857142857
TT_IgG,Unclustered,Unclustered,2.7
ACT_IgG4,Unclustered,Unclustered,1.6666666666666667
